"block";"ID";"deg";"correct";"zaehler_packetID";"durchgang";"MeanAmplitude";"MaxRangeX";"MaxRangeY";"SwayVelocity";"reactionTime";"outlier"
"visual";"id10";135;1;23;8;0.994250554041813;3.4445;2.8451;261.648358585124;1159;FALSE
"visualStop";"id74";135;1;19;6;3.2991133019869;12.6219;10.74569;534.83037160107;3197;FALSE
"mental";"id27";180;1;31;12;4.91463433373484;13.7398;18.48518;198.450672651256;7912;TRUE
"visualStop";"id38";135;1;31;12;1.13243017614218;2.7476;4.20577;259.392439625958;1892;FALSE
"mental";"id4";135;1;31;12;2.10217563292984;5.945;8.613719;711.393715016742;1986;FALSE
"visual";"id148";90;1;25;9;0;0;0;0;1827;FALSE
"visual";"id88";90;1;19;6;2.87119462731288;9.1756;6.607944;243.621299913442;1723;FALSE
"visual";"id39";90;1;21;7;2.320781502976;8.7649;8.69607;747.703751744607;1953;FALSE
"visual";"id110";135;1;15;4;2.88794052269713;5.5602;11.076681;236.064293045797;1306;FALSE
"mental";"id71";180;1;31;12;2.27354870914298;5.8899;6.7926;258.068285569578;3062;FALSE
"mental";"id92";45;1;27;10;1.92676715147767;1.6311;7.18608;211.893668993068;987;FALSE
"visual";"id145";135;1;11;2;2.86797792461472;6.6124;12.13944;455.153638305238;3000;FALSE
"mental";"id2";180;1;23;8;2.71915340425473;5.4377;11.90577;653.675446533493;2740;FALSE
"mental";"id59";90;1;23;8;1.65333050581808;5.47248;5.41874;542.276390599045;1553;FALSE
"mental";"id140";180;1;15;4;0.968735378981393;1.1641;3.5121;116.710262839052;1664;FALSE
"visualStop";"id116";90;1;17;5;1.89238696242061;4.0161;10.08225;768.895188849534;2707;FALSE
"visual";"id100";45;1;27;10;1.43106780433736;5.1084;7.53514;801.331588390743;1721;FALSE
"visual";"id77";180;1;23;8;2.38665919913242;8.1633;10.29489;555.112995944044;4922;FALSE
"mental";"id77";45;1;9;1;3.94029060024435;10.6861;13.09064;495.710574208419;2268;FALSE
"visual";"id23";45;1;23;8;0.993913144612143;3.2745;5.29696;605.52977281135;1250;FALSE
"visual";"id111";45;1;9;1;1.81983460768177;7.5657;4.05501;743.489202400266;1334;FALSE
"visualStop";"id53";180;1;31;12;3.08025462447564;5.0247;13.77177;696.131541760383;3081;FALSE
"visualStop";"id47";180;1;9;1;3.06997803632868;4.9527;12.77548;650.172214314353;3052;FALSE
"visualStop";"id76";90;1;21;7;1.21335715970716;5.05;4.23003;666.921521366357;1241;FALSE
"mental";"id120";90;1;13;3;2.03073655752393;6.0182;8.13528;443.491918279878;2030;FALSE
"mental";"id60";180;1;19;6;3.38125519047374;7.3183;8.5464;200.579052814093;4397;FALSE
"visual";"id74";45;1;25;9;3.53071183797861;3.2074;11.576888;518.576346565805;1008;FALSE
"visualStop";"id61";45;1;27;10;2.55993720958304;6.5321;5.85881;249.249820097264;1892;FALSE
"mental";"id42";90;1;19;6;2.22210909839132;5.8278;8.86387;505.229739497392;4811;FALSE
"visual";"id44";45;1;11;2;1.33704819189705;5.1495;3.52466;547.675317959447;1242;FALSE
"visual";"id63";45;1;19;6;1.72777082336403;5.49931;4.96166;527.937979240638;1314;FALSE
