"block";"ID";"value";"type"
"visual";"id88";"1";"RPE"
"mental";"id100";"7";"cRPE"
"mental";"id76";"2";"cRPE"
"visualStop";"id19";"4";"cRPE"
"mental";"id108";"6";"cRPE"
"mental";"id45";"7";"cRPE"
"visualStop";"id39";"5";"cRPE"
"visual";"id114";"4";"cRPE"
"visualStop";"id2";"1";"RPE"
"visual";"id110";"1";"RPE"
"mental";"id73";"1";"RPE"
"mental";"id105";"1";"RPE"
"mental";"id97";"6";"cRPE"
"visualStop";"id131";"4";"cRPE"
"mental";"id29";"1";"RPE"
"visualStop";"id15";"5";"cRPE"
"mental";"id23";"1";"RPE"
"visualStop";"id50";"1";"RPE"
"visual";"id109";"4";"cRPE"
"visualStop";"id137";"5";"cRPE"
"visualStop";"id11";"3";"RPE"
"visualStop";"id38";"4";"cRPE"
"mental";"id2";"5";"cRPE"
"visual";"id28";"4";"cRPE"
"mental";"id141";"5";"cRPE"
"visualStop";"id150";"5";"RPE"
"mental";"id129";"6";"cRPE"
"visual";"id145";"1";"RPE"
"mental";"id135";"3";"cRPE"
"visualStop";"id138";"5";"cRPE"
"visualStop";"id20";"1";"RPE"
"visualStop";"id46";"1";"cRPE"
"visual";"id40";"2";"RPE"
"visual";"id102";"1";"cRPE"
"visualStop";"id107";"5";"cRPE"
"visual";"id124";"1";"RPE"
"visual";"id57";"3";"RPE"
"visualStop";"id23";"3";"cRPE"
"visualStop";"id122";"2";"RPE"
"visual";"id103";"3";"cRPE"
"visualStop";"id124";"1";"RPE"
"visual";"id48";"1";"RPE"
"mental";"id32";"2";"cRPE"
"visual";"id51";"1";"cRPE"
"visualStop";"id33";"3";"RPE"
"mental";"id92";"1";"RPE"
"visualStop";"id91";"5";"cRPE"
"visualStop";"id81";"3";"cRPE"
"mental";"id104";"3";"RPE"
"visual";"id85";"4";"RPE"
"visualStop";"id70";"5";"cRPE"
"visual";"id44";"2";"RPE"
"visual";"id127";"3";"cRPE"
"mental";"id114";"4";"cRPE"
"visual";"id121";"1";"RPE"
"mental";"id101";"4";"cRPE"
"mental";"id96";"6";"cRPE"
"visualStop";"id112";"1";"RPE"
"visualStop";"id144";"1";"RPE"
"visualStop";"id106";"1";"RPE"
"mental";"id94";"2";"cRPE"
"visualStop";"id90";"3";"cRPE"
"visual";"id87";"1";"RPE"
"visual";"id5";"1";"RPE"
"visualStop";"id136";"5";"cRPE"
"mental";"id62";"2";"RPE"
"mental";"id42";"6";"cRPE"
"visualStop";"id42";"5";"cRPE"
"visual";"id140";"2";"cRPE"
"visual";"id6";"5";"cRPE"
"mental";"id47";"3";"RPE"
"visual";"id14";"1";"RPE"
"visual";"id49";"3";"cRPE"
"mental";"id71";"6";"cRPE"
"mental";"id149";"2";"RPE"
"mental";"id25";"3";"cRPE"
"visualStop";"id16";"1";"RPE"
"mental";"id64";"2";"RPE"
"visual";"id56";"5";"cRPE"
"mental";"id23";"3";"cRPE"
"mental";"id80";"7";"cRPE"
"mental";"id96";"5";"RPE"
"visual";"id52";"5";"cRPE"
"visual";"id92";"1";"RPE"
"visualStop";"id122";"4";"cRPE"
"visual";"id37";"1";"RPE"
"mental";"id66";"1";"RPE"
"visualStop";"id96";"6";"cRPE"
"visualStop";"id59";"3";"cRPE"
"visualStop";"id139";"1";"RPE"
"visualStop";"id133";"1";"RPE"
"visualStop";"id37";"1";"cRPE"
"visualStop";"id94";"1";"RPE"
"visualStop";"id135";"2";"RPE"
"visualStop";"id88";"1";"RPE"
"visual";"id10";"4";"cRPE"
"mental";"id77";"5";"cRPE"
"mental";"id129";"6";"cRPE"
"visualStop";"id46";"1";"cRPE"
"mental";"id129";"4";"cRPE"
"visual";"id32";"2";"cRPE"
"visualStop";"id102";"3";"cRPE"
"mental";"id38";"1";"RPE"
"visual";"id75";"1";"RPE"
"visualStop";"id36";"4";"cRPE"
"mental";"id122";"7";"cRPE"
"mental";"id18";"4";"RPE"
"visualStop";"id112";"1";"RPE"
"visualStop";"id132";"1";"RPE"
"visual";"id80";"2";"RPE"
"mental";"id16";"4";"cRPE"
"visual";"id76";"1";"RPE"
"visual";"id53";"4";"RPE"
"mental";"id55";"3";"RPE"
"visualStop";"id134";"8";"RPE"
"mental";"id132";"4";"cRPE"
"mental";"id25";"1";"RPE"
"visual";"id78";"4";"RPE"
"visual";"id33";"3";"RPE"
"visualStop";"id33";"3";"RPE"
"visual";"id126";"1";"RPE"
"visual";"id117";"1";"RPE"
"visualStop";"id47";"3";"cRPE"
"visual";"id83";"4";"cRPE"
"visualStop";"id98";"1";"cRPE"
"visualStop";"id110";"2";"cRPE"
"visual";"id108";"1";"RPE"
"visual";"id90";"1";"RPE"
"visualStop";"id46";"1";"cRPE"
"visual";"id23";"3";"cRPE"
"visual";"id7";"3";"cRPE"
"visual";"id69";"1";"RPE"
"visualStop";"id34";"2";"cRPE"
"mental";"id17";"1";"RPE"
"mental";"id23";"1";"RPE"
"mental";"id22";"1";"RPE"
"visual";"id18";"4";"cRPE"
"visualStop";"id98";"1";"cRPE"
"visualStop";"id38";"1";"RPE"
"visualStop";"id64";"1";"RPE"
"mental";"id68";"5";"cRPE"
"visual";"id92";"1";"RPE"
"visual";"id81";"3";"cRPE"
"visual";"id60";"2";"cRPE"
"mental";"id98";"1";"RPE"
"visualStop";"id4";"7";"cRPE"
"visualStop";"id65";"2";"RPE"
"visual";"id6";"1";"RPE"
"mental";"id40";"4";"cRPE"
"visual";"id49";"3";"RPE"
"mental";"id56";"7";"cRPE"
"visual";"id136";"4";"cRPE"
"mental";"id45";"3";"RPE"
"visual";"id118";"6";"cRPE"
"visualStop";"id31";"5";"cRPE"
"mental";"id76";"1";"RPE"
"mental";"id106";"5";"cRPE"
"visualStop";"id9";"3";"RPE"
"visualStop";"id137";"4";"RPE"
"mental";"id128";"1";"RPE"
"visual";"id116";"2";"RPE"
"visual";"id24";"3";"cRPE"
"visualStop";"id7";"3";"RPE"
"mental";"id12";"1";"RPE"
"visualStop";"id114";"4";"cRPE"
"mental";"id18";"4";"RPE"
"mental";"id79";"5";"cRPE"
"visualStop";"id30";"4";"cRPE"
"mental";"id120";"6";"cRPE"
"visualStop";"id84";"5";"cRPE"
"visualStop";"id148";"1";"RPE"
"visual";"id108";"5";"cRPE"
"mental";"id33";"6";"cRPE"
"visualStop";"id75";"2";"cRPE"
"visual";"id71";"2";"RPE"
"visual";"id90";"3";"cRPE"
"visual";"id36";"4";"RPE"
"mental";"id48";"4";"cRPE"
"visualStop";"id118";"1";"RPE"
"mental";"id135";"4";"cRPE"
"mental";"id118";"1";"RPE"
"visualStop";"id10";"4";"cRPE"
"visual";"id137";"4";"RPE"
"visual";"id128";"5";"cRPE"
"visualStop";"id85";"3";"cRPE"
"mental";"id98";"3";"cRPE"
"visual";"id126";"5";"cRPE"
"visualStop";"id83";"4";"cRPE"
"visualStop";"id114";"5";"RPE"
"visualStop";"id57";"3";"RPE"
"visual";"id13";"3";"RPE"
"mental";"id137";"5";"cRPE"
"visualStop";"id143";"2";"RPE"
"visualStop";"id28";"1";"RPE"
"visual";"id18";"4";"cRPE"
"visual";"id99";"1";"RPE"
"visual";"id36";"4";"RPE"
"mental";"id140";"1";"cRPE"
"visual";"id46";"1";"cRPE"
"visual";"id113";"2";"RPE"
"visualStop";"id83";"1";"RPE"
"mental";"id121";"6";"cRPE"
"mental";"id30";"4";"cRPE"
"visual";"id9";"3";"RPE"
"mental";"id5";"5";"cRPE"
"mental";"id147";"3";"RPE"
"visual";"id90";"2";"RPE"
"mental";"id50";"2";"cRPE"
"visual";"id139";"1";"RPE"
"visualStop";"id121";"4";"cRPE"
"visualStop";"id81";"1";"RPE"
"mental";"id98";"3";"cRPE"
"visual";"id68";"4";"cRPE"
"visualStop";"id92";"2";"cRPE"
"visual";"id85";"5";"cRPE"
"mental";"id34";"4";"cRPE"
"visualStop";"id80";"3";"RPE"
"visual";"id125";"3";"cRPE"
"mental";"id75";"1";"RPE"
"visualStop";"id63";"3";"cRPE"
"visualStop";"id32";"1";"RPE"
"visual";"id47";"1";"RPE"
"visual";"id88";"3";"cRPE"
"mental";"id27";"2";"RPE"
"mental";"id66";"1";"RPE"
"visual";"id78";"1";"RPE"
"mental";"id34";"2";"RPE"
"visualStop";"id12";"6";"cRPE"
"visualStop";"id95";"3";"cRPE"
"visual";"id11";"3";"RPE"
"visual";"id79";"2";"RPE"
"mental";"id16";"1";"RPE"
"visualStop";"id128";"1";"RPE"
"visualStop";"id62";"3";"cRPE"
"visual";"id74";"1";"RPE"
"visual";"id91";"1";"RPE"
"mental";"id148";"1";"RPE"
"visual";"id40";"3";"cRPE"
"visualStop";"id116";"1";"RPE"
"visualStop";"id41";"5";"cRPE"
"visualStop";"id24";"4";"cRPE"
"mental";"id40";"4";"cRPE"
"visualStop";"id75";"2";"cRPE"
"mental";"id136";"4";"cRPE"
"mental";"id116";"2";"RPE"
"visual";"id139";"1";"RPE"
"visualStop";"id14";"4";"cRPE"
"mental";"id6";"1";"RPE"
"visualStop";"id64";"1";"RPE"
"mental";"id10";"4";"cRPE"
"visual";"id44";"3";"cRPE"
"visualStop";"id143";"4";"cRPE"
"mental";"id100";"3";"RPE"
"visual";"id9";"7";"cRPE"
"visualStop";"id144";"1";"RPE"
"mental";"id73";"6";"cRPE"
"visual";"id97";"1";"RPE"
"visualStop";"id146";"1";"RPE"
"visualStop";"id145";"1";"RPE"
"visualStop";"id19";"1";"RPE"
"mental";"id95";"1";"RPE"
"visualStop";"id67";"4";"RPE"
"visualStop";"id119";"5";"cRPE"
"mental";"id42";"2";"RPE"
"visualStop";"id74";"1";"RPE"
"visualStop";"id140";"1";"cRPE"
"visualStop";"id88";"2";"cRPE"
"visual";"id89";"4";"cRPE"
"visual";"id145";"1";"RPE"
"visual";"id99";"3";"cRPE"
"mental";"id59";"5";"cRPE"
"visual";"id70";"1";"RPE"
"visualStop";"id25";"2";"cRPE"
"mental";"id44";"3";"cRPE"
"visual";"id134";"6";"cRPE"
"mental";"id143";"1";"RPE"
"visual";"id52";"5";"cRPE"
"visualStop";"id130";"2";"RPE"
"visual";"id124";"3";"cRPE"
"visualStop";"id135";"3";"cRPE"
"visual";"id106";"1";"RPE"
"visual";"id105";"5";"cRPE"
"visualStop";"id71";"3";"RPE"
"visual";"id3";"1";"cRPE"
"visual";"id133";"1";"RPE"
"visual";"id14";"1";"RPE"
"visual";"id60";"3";"cRPE"
"visual";"id143";"4";"cRPE"
"mental";"id27";"1";"RPE"
"mental";"id70";"1";"RPE"
"mental";"id121";"5";"cRPE"
"visualStop";"id3";"1";"cRPE"
"mental";"id150";"5";"cRPE"
"mental";"id84";"2";"RPE"
"visual";"id13";"3";"cRPE"
"visualStop";"id140";"2";"cRPE"
"mental";"id133";"5";"cRPE"
"visualStop";"id122";"6";"cRPE"
"visualStop";"id46";"1";"cRPE"
"visualStop";"id23";"1";"RPE"
"visualStop";"id69";"1";"RPE"
"visual";"id22";"1";"RPE"
"mental";"id92";"2";"cRPE"
"mental";"id144";"6";"cRPE"
"visualStop";"id57";"2";"cRPE"
"visual";"id82";"4";"RPE"
"mental";"id28";"1";"RPE"
"mental";"id84";"2";"RPE"
"visual";"id100";"3";"RPE"
"visualStop";"id114";"5";"RPE"
"visual";"id128";"1";"RPE"
"mental";"id17";"6";"cRPE"
"visualStop";"id148";"1";"RPE"
"visual";"id17";"1";"RPE"
"visual";"id50";"1";"cRPE"
"mental";"id83";"6";"cRPE"
"mental";"id85";"6";"cRPE"
"visual";"id55";"3";"cRPE"
"visual";"id134";"6";"cRPE"
"visualStop";"id77";"2";"RPE"
"visualStop";"id83";"1";"RPE"
"visual";"id92";"2";"cRPE"
"visualStop";"id94";"1";"RPE"
"visual";"id111";"3";"cRPE"
"visualStop";"id32";"2";"cRPE"
"visualStop";"id86";"1";"RPE"
"mental";"id45";"4";"RPE"
"mental";"id115";"2";"RPE"
"visualStop";"id109";"4";"cRPE"
"visualStop";"id111";"3";"cRPE"
"mental";"id17";"1";"RPE"
"visual";"id1";"5";"cRPE"
"visualStop";"id49";"5";"cRPE"
"visual";"id40";"4";"RPE"
"mental";"id39";"6";"cRPE"
"mental";"id133";"4";"cRPE"
"visualStop";"id22";"1";"cRPE"
"mental";"id28";"1";"RPE"
"visualStop";"id83";"1";"RPE"
"mental";"id145";"5";"cRPE"
"visual";"id135";"3";"RPE"
"mental";"id132";"1";"RPE"
"mental";"id102";"4";"cRPE"
"mental";"id21";"5";"cRPE"
"visualStop";"id19";"2";"RPE"
"mental";"id35";"2";"RPE"
"mental";"id105";"1";"RPE"
"visualStop";"id97";"5";"cRPE"
"visual";"id15";"4";"cRPE"
"mental";"id104";"4";"cRPE"
"mental";"id57";"3";"RPE"
"visualStop";"id102";"1";"RPE"
"visualStop";"id5";"1";"RPE"
"visual";"id140";"2";"cRPE"
"mental";"id33";"3";"RPE"
"mental";"id121";"5";"cRPE"
"mental";"id82";"1";"RPE"
"mental";"id51";"5";"cRPE"
"visualStop";"id109";"1";"RPE"
"mental";"id42";"6";"cRPE"
"visualStop";"id105";"1";"RPE"
"visual";"id143";"1";"RPE"
"visualStop";"id50";"2";"cRPE"
"visual";"id103";"3";"cRPE"
"mental";"id11";"3";"RPE"
"mental";"id70";"8";"cRPE"
"mental";"id86";"2";"cRPE"
"visualStop";"id122";"2";"RPE"
"mental";"id99";"1";"RPE"
"mental";"id87";"1";"RPE"
"visual";"id132";"4";"cRPE"
"visualStop";"id132";"1";"RPE"
"visualStop";"id57";"2";"cRPE"
"mental";"id49";"5";"cRPE"
"visualStop";"id136";"5";"RPE"
"visual";"id85";"3";"RPE"
"visualStop";"id30";"1";"RPE"
"mental";"id52";"1";"RPE"
"mental";"id32";"2";"cRPE"
"visualStop";"id3";"1";"RPE"
"visualStop";"id101";"1";"RPE"
"visual";"id105";"1";"RPE"
"visualStop";"id1";"1";"RPE"
